taxonID,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Eudorella emarginata,110524,Eudorella emarginata,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,Eudorella,emarginata
Eudorella truncatula,110535,Eudorella truncatula,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,Eudorella,truncatula
Eudorellopsis deformis,110536,Eudorellopsis deformis,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,Eudorellopsis,deformis
Eumida bahusiensis,130641,Eumida bahusiensis,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eumida,bahusiensis
Eumida sanguinea,130644,Eumida sanguinea,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eumida,sanguinea
Eunereis longissima,130375,Eunereis longissima,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Eunereis,longissima
Euphausiidae,110671,Euphausiidae,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,NA
Euphysa aurata,117561,Euphysa aurata,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corymorphidae,Euphysa,aurata
Euspira,138239,Euspira,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,NA
Euspira fusca,140529,Euspira fusca,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,fusca
Euspira montagui,140533,Euspira montagui,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,montagui
Lunatia montagui,140533,Euspira montagui,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,montagui
Euspira nitida,151894,Euspira nitida,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,nitida
Exogone verugera,333456,Exogone verugera,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Exogone,verugera
Exogone (Exogone) verugera,333456,Exogone verugera,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Exogone,verugera
Fabulina fabula,146907,Fabulina fabula,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Fabulina,fabula
Falcidens crossotus,139112,Falcidens crossotus,Animalia,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,Falcidens,crossotus
Filifera,16352,Filifera,Animalia,Cnidaria,Hydrozoa,Anthoathecata,NA,NA,NA
Flustra foliacea,111367,Flustra foliacea,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Flustridae,Flustra,foliacea
