"taxonID"
"Ophiuridae"
"Loxosomella murmanica"
"Hiatella arctica"
"Devonia perrieri"
"Kurtiella tumidula"
"Thyasira polygona"
"Hermania scabra"
"Cephalaspidea"
"Melanella polita"
"Lunatia montagui"
"Embletonia pulchra"
"Onchidoris"
"Porifera"
"Astrorhiza limicola"
"Jaculella"
"Chromista"
"Astrorhiza"
"Euphysa aurata"
"Halecium"
"Lytocarpia myriophyllum"
"Cerebratulus"
"Loxosomella varians"
"Chaetognatha"
"Golfingia elongata"
"Phascolion strombus"
"Aspidosiphon muelleri"
"Enipo kinbergi"
"Polynoe scolopendrina"
"Sigalion"
"Pseudomystides spinachia"
"Glycera oxycephala"
"Ancistrosyllis groenlandica"
"Syllis parapari"
"Nephtys incisa"
"Paucibranchia kinbergi"
"Scoletoma magnidentata"
"Scoloplos"
"Aricidea laubieri"
"Apistobranchus"
"Prionospio cf. multibranchiata"
"Prionospio cf. cirrifera"
"Prionospio cf. dubia"
"Magelona minuta"
"Chaetozone elakata"
"Kirkegaardia"
"Euclymene oerstedii"
"Myriochele"
"Myriochele danielsseni"
"Ampharete octocirrata"
"Terebellidae"
"Lysilla loveni"
"Paranymphon spinosum"
"Sessilia"
"Siriella norvegica"
"Gastrosaccus sanctus"
"Ampelisca sorbei"
"Ampelisca diadema"
"Ampelisca spinifer"
"Ampelisca spinipes"
"Themisto"
"Bopyridae"
"Iphinoe trispinosa"
"Campylaspis sulcata"
"Solenocera membranacea"
"Processa canaliculata"
"Ebalia tumefacta"
"Goneplax rhomboides"
"Falcidens crossotus"
"Alvania testae"
"Naticidae"
"Euspira fusca"
"Nucula sulcata"
"Nuculidae"
"Mytilus edulis"
"Myrtea spinifera"
"Crisia"
"Hagiosynodos latus"
"Porania pulvillus"
"Ophiactis balli"
"Dendrochirotida"
"Ammodytes marinus"
"Anthoathecata"
"Aphelochaeta “type 1”"
"Bathyporeia nana"
"Ciliophora"
"Crangon crangon"
"Diaphana minuta"
"Diastylis bradyi"
"Ensis"
"Eumida bahusiensis"
"Euphausiidae"
"Gammaropsis maculata"
"Gari"
"Glycera celtica"
"Harmothoe globifera"
"Hydractinia echinata"
"Lepidepecreum longicorne"
"Liocarcinus"
"Malmgrenia"
"Megastomia conoidea"
"Molgulidae"
"Nephtys paradoxa"
"Nothria"
"Nototropis swammerdamei"
"Nototropis vedlomensis"
"Nucula"
"Nudibranchia"
"Pagurus pubescens"
"Parvicardium minimum"
"Pectinariidae"
"Podarkeopsis"
"Pontocrates moorei"
"Processa modica"
"Processa nouveli holthuisi"
"Protodorvillea kefersteini"
"Sarsinebalia urgorrii"
"Sphaerodoridium balticum"
"Styelidae"
"Synchelidium maculatum"
"Tanaopsis graciloides"
"Tubificoides pseudogaster"
"Turbonilla acuta"
"Venus casina"
"Opercularella lacerata"
"Halopteris catharina"
"Tubulanus polymorphus"
"Spadella cephaloptera"
"Nephasoma minutum"
"Pholoe baltica (sensu Petersen)"
"Sige fusigera"
"Ophryotrocha"
"Spionidae"
"Chaetopterus"
"Euchone southerni"
"Acidostoma obesum (sensu Stoddart & Lowry)"
"Nicippe tumida"
"Campylaspis costata"
"Diastylis tumida"
"Nephrops norvegicus"
"Calocaris macandreae"
"Aporrhais"
"Laona quadrata"
"Astartidae"
"Clausinella fasciata"
