numAuto,surveyCode,stationCode,priority,location,fishing,mud,sand,latitude,longitude,beamSAR,otterSAR,dredgeSAR,totalSAR,poc_kgm2,totalProd_log10,preyProd_log10,mud_pc,sand_pc,gravel_pc,waterDepth,distCoast,,Area,Description,reasoning,Water Depth (m),SedimentDescription,Comments
52,CEND0723,MFRN003,C,Farnes,low,low,high,55.74223333,0.779266667,0,0,0,0,0.3105785,1.1640491,0.9316637,0.96506,99.00318,0.03176,72.0999985,151263.6719,,Farne Deeps,NE Farne Deeps HPMA,NE Farne Deeps HPMA,84,Muddy sand,HPMA
53,CEND0723,MFRN002,unsampled,Farnes,low,low,high,55.763,-0.702,0,0.005586652,0,0.005586652,0.2979199,1.4717541,1.1614671,2.41674,97.36321,0.22005,81.6100006,62134.31641,,Farne Deeps,NE Farne Deeps HPMA,NE Farne Deeps HPMA,84,Muddy sand,HPMA
54,CEND0723,MFRN001,C,Farnes,low,high,high,55.725,-0.698,0,0,0.00140834,0.00140834,0.5192286,1.5650711,1.1842721,9.00552,90.92913,0.06535,88.7699966,60933.34375,,Farne Deeps,NE Farne Deeps HPMA,NE Farne Deeps HPMA,90,Slightly sandy mud,HPMA
55,CEND0723,MFRN010,A,Farnes,low,high,high,55.618,-0.866,0,0.031245562,0,0.031245562,0.6435311,1.6769773,1.2285404,8.28082,91.63796,0.08122,92.6200027,47712.5625,,Farne Deeps,Farne Deeps low otter,Farne Deeps low otter,90,Sandy mud,3 stations low fishing effort
56,CEND0723,MFRN009,B,Farnes,low,medium/high,high,55.628,-0.885,0,0.031245562,0,0.031245562,0.6132099,1.6769773,1.2285404,6.73813,93.1946,0.06726,86.8899994,46864.56641,,Farne Deeps,Farne Deeps low otter,Farne Deeps low otter,90,SANDY MUD,More stations low fishing effort
57,CEND0723,MFRN008,A,Farnes,low,high,medium/high,55.602,-0.892,0,0.031245562,0,0.031245562,0.7249917,1.7377911,1.2363846,10.19955,89.77139,0.02907,92.4499969,45457.26563,,Farne Deeps,Farne Deeps low otter,Farne Deeps low otter,98,slightly muddy sand with shell,3 stations low fishing effort
58,CEND0723,MFRN007,B,Farnes,low,medium/high,high,55.637,-0.869,0,0.031245562,0,0.031245562,0.626505,1.6769773,1.2285404,6.91225,93.02713,0.06062,88.4800034,47922.88672,,Farne Deeps,Farne Deeps low otter,Farne Deeps low otter,90,Sandy mud,More stations low fishing effort
59,CEND0723,MFRN006,A,Farnes,low,high,high,55.608,-0.856,0,0.031245562,0,0.031245562,0.663854,1.7377911,1.2363846,8.90854,91.01217,0.07928,93.1299973,47503.67969,,Farne Deeps,Farne Deeps low otter,Farne Deeps low otter,99,Muddy shelly sand,3 stations low fishing effort
60,CEND0723,MFRN020,A,Farnes,high,high,medium/high,55.47,-1.137,0.003068064,6.889668159,0,6.892736223,0.9935737,1.830617,1.5433091,12.98191,86.8799,0.13818,97.0299988,28023.21484,,Farne Deeps,Farne Deeps high otter ,Farne Deeps high otter ,100,Sandy mud,3 stations high fishing effort
61,CEND0723,MFRN019,A,Farnes,high,high,high,55.46,-1.105,0.003068064,6.889668159,0,6.892736223,0.8299063,1.832095,1.4775136,9.80524,90.03497,0.15978,95.4499969,29676.75,,Farne Deeps,Farne Deeps high otter ,Farne Deeps high otter ,97,Mud,3 stations high fishing effort
62,CEND0723,MFRN018,A,Farnes,high,high,medium/high,55.491,-1.136,0.003068064,6.889668159,0,6.892736223,0.9041345,1.830617,1.5433091,13.47941,86.45222,0.06837,99.1600037,28245.16602,,Farne Deeps,Farne Deeps high otter ,Farne Deeps high otter ,99,mud with clay,3 stations high fishing effort
63,CEND0723,MFRN017,B,Farnes,high,high,medium/high,55.487,-1.106,0.003068064,6.889668159,0,6.892736223,0.9008543,1.832095,1.4775136,17.11925,82.80311,0.07764,100.1699982,29843.52734,,Farne Deeps,Farne Deeps high otter ,Farne Deeps high otter ,102,Sandy mud,More stations high fishing effort
64,CEND0723,MFRN011,B,Farnes,high,high,medium/high,55.481,-1.122,0.003068064,6.889668159,0,6.892736223,0.8233688,1.830617,1.5433091,14.05548,85.80554,0.13899,99.4100037,28910.75195,,Farne Deeps,Farne Deeps high otter ,Farne Deeps high otter ,104,Sandy mud,More stations high fishing effort
65,CEND0723,MFRN016,aa,transectFarnesShore,low,medium/high,medium/high,55.343,-1.452,0,0.086607692,0.000484108,0.087091801,1.4612385,1.9720694,1.8095164,6.31242,82.80329,10.88429,44.7200012,8248.348633,,Farne Deeps,Farne Deeps inshore transect,Farne Deeps inshore transect,46,Coarse sand,Carbon transition offshore to coastal
66,CEND0723,MFRN015,aa,transectFarnesShore,low,low,high,55.362,-1.406,0.014596544,0.096340857,0.008270486,0.119207887,0.9724978,1.9720694,1.8095164,3.74065,92.70301,3.55633,50.1199989,11911.23145,,Farne Deeps,Farne Deeps inshore transect,Farne Deeps inshore transect,54,coarse muddy sand,Carbon transition offshore to coastal
67,CEND0723,MFRN014,aa,transectFarnesShore,low,medium/high,high,55.385,-1.344,0,0.089400094,0.025081746,0.114481841,1.0472461,1.871678,1.5688006,6.33164,90.75422,2.91414,68.3399963,15082.09863,,Farne Deeps,Farne Deeps inshore transect,Farne Deeps inshore transect,73,slightly muddy sand with shell/gravel,Carbon transition offshore to coastal
68,CEND0723,MFRN013,aa,transectFarnesShore,low,low,high,55.35056667,1.494648333,0,0.05722124,0,0.110459403,0.3834721,1.4006811,1.1597999,1.02911,98.50996,0.46093,63,163776.3281,,Farne Deeps,Farne Deeps inshore transect,Farne Deeps inshore transect,39,Slightly sandy mud,Carbon transition offshore to coastal
69,CEND0723,MFRN012,aa,transectFarnesShore,low,low,high,55.414,-1.277,0,0.131841046,0,0.131841046,0.7481159,1.9524677,1.6363728,3.91164,93.96999,2.11837,63.5499992,18716.47852,,Farne Deeps,Farne Deeps inshore transect,Farne Deeps inshore transect,67,slightly muddy sand with shell,Carbon transition offshore to coastal
70,CEND1723,A01,2,celticSea,high,high,low,51.21125833,-6.133795,0,10.13397707,0,10.46339653,1.2386358,1.2695696,0.8771983,49.66914,50.27515,0.0557,102.5599976,84595.95313,,SSB main station (high C high impact),High mud; high trawl,High mud; high trawl,,,
71,CEND1723,G01,4,celticSea,high,low,high,51.072615,-6.5811,0.198285923,1.658377416,0,1.92337306,0.2754464,1.2279859,0.9016222,3.94565,94.70692,1.34743,94.7699966,117664.7188,,SSB main station,"high sand, higher trawl","high sand, higher trawl",,,
72,CEND1723,H01,5,celticSea,medium/high,high,low,50.522215,-7.0357,0.080017011,0.753861731,0,0.833878742,0.5451736,1.5635759,1.2322061,20.5026,79.47869,0.01872,101.4899979,104100.7188,,SSB main station,high sand,high sand,,,
73,CEND1723,I01,6,celticSea,high,high,medium/high,50.5759275,-7.10526775,0.104145865,2.106266156,0,2.210412021,0.735535,1.5673587,1.2419308,17.72861,82.13916,0.13223,99.25,110726.2578,,SSB main station,"high mud, lower trawl - leave out","high mud, lower trawl - leave out",,,
